title,price,large_image,url
"TARÍN CEDRO, Media alianza de compromiso",2.180,https://tarin.es/wp-content/uploads/matac_5.jpg,https://tarin.es/producto/media-alianza-compromiso-cedro/
"TARÍN SWEET, Anillo roseta diamantes",2.750,https://tarin.es/wp-content/uploads/Tarin-sortijas-web-11.jpg,https://tarin.es/producto/anillo-roseta-engaste-invisible-2/
"TARÍN LUMIÈRE, Anillo de compromiso",3.840,https://tarin.es/wp-content/uploads/Tarin_web-10.jpg,https://tarin.es/producto/anillo-solitario-lumiere/
"TARÍN VENECIA, Media alianza de compromiso",2.550,https://tarin.es/wp-content/uploads/42-1-10.jpg,https://tarin.es/producto/alianza-compromiso-brillantes/
"TARÍN CLASSIC, Anillo de compromiso",11.500,https://tarin.es/wp-content/uploads/Tarin-Feb_1-B.jpg,https://tarin.es/producto/anillo-oro-blanco/
"TARÍN LUMIÉRE, Anillo de compromiso",1.390,https://tarin.es/wp-content/uploads/4-1-262.jpg,https://tarin.es/producto/anillo-de-compromiso-mini-lumiere/
"TARÍN LUMIÈRE, Anillo de compromiso",2.100,https://tarin.es/wp-content/uploads/Tarin-sortijas-web-6.jpg,https://tarin.es/producto/anillo-de-compromiso-lumiere/
"TARÍN LUCE,Anillo de compromiso",1.230,https://tarin.es/wp-content/uploads/stac_4-1.jpg,https://tarin.es/producto/anillo-solitario-de-compromiso-luce-stac_4/
"TARÍN QUEEN, Anillo de compromiso",2.180,https://tarin.es/wp-content/uploads/stac-7.jpg,https://tarin.es/producto/anillo-solitario-de-compromiso-queen/
"TARÍN LOVE,Anillo de compromiso",1.230,https://tarin.es/wp-content/uploads/stac_2-1.jpg,https://tarin.es/producto/anillo-solitario-de-compromiso-love/
"TARÍN RIALTO, Diamantes",5.950,https://tarin.es/wp-content/uploads/300-1-127.jpg,https://tarin.es/producto/alianza-de-diamantes/
"TARÍN ILUSIÓN, Anillo roseta de diamantes",5.380,https://tarin.es/wp-content/uploads/Tarin-Dic_8-V2.jpg,https://tarin.es/producto/tarin-ilusion-anillo-roseta-de-diamantes/
"TARÍN ELEGANCE, Diamantes",4.250,https://tarin.es/wp-content/uploads/195-1-127.jpg,https://tarin.es/producto/alianza-de-diamantes-2/
"TARÍN EXTENSIBLE, Diamantes",5.700,https://tarin.es/wp-content/uploads/14-1-46.jpg,https://tarin.es/producto/alianza-de-diamantes-3/
"TARÍN CAROLINE, Zafiro diamantes",2.150,https://tarin.es/wp-content/uploads/102-1-10.jpg,https://tarin.es/producto/anillo-diamantes/
"TARÍN EXTENSIBLE, Diamantes",6.850,https://tarin.es/wp-content/uploads/9-1-46.jpg,https://tarin.es/producto/tarin-extensible-diamantes/
"TARÍN CAROLINE, Zafiro diamantes",2.100,https://tarin.es/wp-content/uploads/93-1-10.jpg,https://tarin.es/producto/tarin-caroline-zafiro-kanchanaburi-2/
